station,ogd_station,latitude,longitude,coordinate_status,coordinate_source,coordinate_source_url,match_status,match_method,unique_coordinate_pairs,needs_manual_review
Major_Dhyan_Chand_National_Stadium,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Mandir_Marg,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Mundka,"Mundka, Delhi - DPCC",28.684678,77.076574,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
NSIT_Dwarka,,,,NOT_FOUND,,,NOT_FOUND,,,True
NSUT_Jaffarpur,"NSUT Jaffarpur, Delhi - DPCC",28.594004,76.909423,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Najafgarh,"Najafgarh, Delhi - DPCC",28.570173,76.933762,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Narela,"Narela, Delhi - DPCC",28.822836,77.101981,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Nehru_Nagar,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
North_Campus_DU,"North Campus, DU, Delhi - IITM",28.6573814,77.1585447,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Okhla_Phase-2,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Patparganj,"Patparganj, Delhi - DPCC",28.623763,77.287209,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Punjabi_Bagh,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Pusa,"Pusa, Delhi - DPCC; Pusa, Delhi - IITM",,,AMBIGUOUS,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,AMBIGUOUS,NORMALIZED_EXACT,,True
R_K_Puram,"R K Puram, Delhi - DPCC",28.563262,77.186937,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Rohini,"Rohini, Delhi - DPCC",28.732528,77.11992,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Shadipur,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Sirifort,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Sonia_Vihar,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Sri_Aurobindo_Marg,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Talkatora_Garden,"Talkatora Garden, Delhi - DPCC",28.62181,77.1944633,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Vivek_Vihar,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
Wazirpur,"Wazirpur, Delhi - DPCC",28.699793,77.165453,CONSISTENT,CPCB OGD,https://www.data.gov.in/resource/real-time-air-quality-index-various-locations,MATCHED,NORMALIZED_EXACT,1.0,False
